Sl. No.,State/UT,Road Accidents - 0000 hrs,Road Accidents - 0300 hrs to 0600 hrs. (Night),Road Accidents - 0600 hrs to 0900 hrs (Day),Road Accidents - 0900 hrs to 1200 hrs (Day),Road Accidents - 1200 hrs to 1500 hrs (Day),Road Accidents - 1500 hrs to 1800 hrs (Day),Road Accidents - 1800 hrs to 2100hrs (Night),Road Accidents - 2100 hrs. to 2400hrs(Night),Road Accidents - Total,Railway Crossing Accidents - 0000 hrs to 0300 hrs. (Night),Railway Crossing Accidents - 0300 hrs to 0600 hrs. (Night),Railway Crossing Accidents - 0600 hrs to 0900 hrs (Day),Railway Crossing Accidents - 0900 hrs to 1200 hrs (Day),Railway Crossing Accidents - 1200 hrs to 1500 hrs (Day),Railway Crossing Accidents - 1500 hrs to 1800 hrs (Day),Railway Crossing Accidents - 1800 hrs to 2100 hrs (Night),Railway Crossing Accidents - 2100 hrs. to 2400 hrs (Night),Railway Crossing Accidents - Total,Railway Accidents - 0000 hrs to 0300 hrs. (Night),Railway Accidents - 0300 hrs to 0600 hrs. (Night),Railway Accidents - 0600 hrs to 0900 hrs (Day),Railway Accidents - 0900 hrs to 1200 hrs (Day),Railway Accidents - 1200 hrs to 1500 hrs (Day),Railway Accidents - 1500 hrs to 1800 hrs (Day),Railway Accidents - 1800 hrs to 2100 hrs (Night),Railway Accidents - 2100 hrs. to 2400 hrs (Night),Railway Accidents - Total,Total (Traffic Accidents) - 0000 hrs to 0300 hrs. (Night),Total (Traffic Accidents) - 0300 hrs to 0600 hrs. (Night),Total (Traffic Accidents) - 0600 hrs to 0900 hrs (Day),Total (Traffic Accidents) - 0900 hrs to 1200 hrs (Day),Total (Traffic Accidents) - 1200 hrs to 1500 hrs (Day),Total (Traffic Accidents) - 1500 hrs to 1800 hrs (Day),Total (Traffic Accidents) - 1800 hrs to 2100 hrs (Night),Total (Traffic Accidents) - 2100 hrs. to 2400 hrs (Night),Total (Traffic Accidents)
1,Andhra Pradesh,991,1143,2256,2704,3058,3403,4255,2139,19949,0,0,1,0,0,1,0,2,4,67,84,261,258,151,123,103,78,1125,1058,1227,2518,2962,3209,3527,4358,2219,21078
2,Arunachal Pradesh,18,13,23,22,36,55,46,20,233,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,18,13,23,22,36,55,47,20,234
3,Assam,346,389,889,1025,1051,1327,1294,1100,7421,0,1,0,0,0,2,1,0,4,86,99,108,85,97,107,91,99,772,432,489,997,1110,1148,1436,1386,1199,8197
4,Bihar,701,937,1674,1606,1525,1818,1803,950,11014,0,0,0,0,0,0,0,0,0,150,205,243,224,218,220,243,132,1635,851,1142,1917,1830,1743,2038,2046,1082,12649
5,Chhattisgarh,464,406,1067,1990,2211,2534,3279,1518,13469,0,0,0,1,0,0,0,0,1,38,48,80,88,84,74,76,45,533,502,454,1147,2079,2295,2608,3355,1563,14003
6,Goa,213,152,255,426,428,482,542,349,2847,0,0,0,0,0,0,0,0,0,3,2,10,13,5,3,3,5,44,216,154,265,439,433,485,545,354,2891
7,Gujarat,910,700,1597,2373,2527,2719,3505,2018,16349,0,0,0,0,1,1,0,0,2,46,54,116,112,71,86,148,118,751,956,754,1713,2485,2599,2806,3653,2136,17102
8,Haryana,943,953,1243,1529,1447,1534,2007,1427,11083,0,0,1,1,1,0,0,0,3,122,113,185,148,119,153,157,134,1131,1065,1066,1429,1678,1567,1687,2164,1561,12217
9,Himachal Pradesh,133,82,182,273,321,430,511,323,2255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,82,182,273,321,430,511,323,2255
10,Jharkhand,304,314,617,700,824,982,1111,464,5316,5,7,6,4,3,2,5,5,37,37,29,55,56,46,66,58,35,382,346,350,678,760,873,1050,1174,504,5735
